,power,power
,total_capacity,number_of_charger
zipcode,,
1055 PS,11.0,1
1055 PZ,22.0,1
1055 RB,22.0,1
1055 RH,11.0,1
1055 RN,11.0,1
1055 RX,11.0,1
1055 SH,11.0,1
1055 SR,11.0,1
1055 SV,11.0,1
1055 TA,11.0,1
1055 TK,33.0,2
1055 TM,22.0,2
1055 TN,11.0,1
1055 VB,33.0,2
1055 VP,22.0,2
1055 VR,11.0,1
1055 VT,11.0,1
1055 WB,11.0,1
1055 WC,11.0,1
1055 XH,22.0,1
1055 XP,11.0,1
1055 ZR,11.0,1
1056 AK,11.0,1
1056 AZ,11.0,1
1056 BA,22.0,1
1056 BB,22.0,1
1056 BC,11.0,1
1056 CW,11.0,1
1056 DK,22.0,2
1056 DT,22.0,2
1056 EB,11.0,1
1056 EM,11.0,1
1056 EP,22.0,2
1056 ER,11.0,1
1056 ES,22.0,1
1056 EW,11.0,1
1056 HD,11.0,1
1056 HL,33.0,3
1056 HR,11.0,1
1056 HT,44.0,3
1056 HX,22.0,2
1056 HZ,11.0,1
1056 JC,11.0,1
1056 JE,11.0,1
1056 JL,11.0,1
1056 JT,22.0,2
1056 JV,22.0,1
1056 KB,22.0,1
1056 KH,22.0,1
1056 KN,11.0,1
1056 KP,22.0,1
1056 NG,11.0,1
1056 NP,11.0,1
1056 NR,22.0,1
1056 NV,11.0,1
1056 PN,33.0,2
1056 PV,11.0,1
1056 RA,11.0,1
1056 RG,11.0,1
1056 RH,22.0,1
1056 RL,11.0,1
1056 RN,22.0,1
1056 RX,22.0,1
1056 SC,11.0,1
1056 SE,33.0,2
1056 SL,22.0,1
1056 SM,11.0,1
1056 SX,22.0,1
1056 TG,11.0,1
1056 TM,11.0,1
1056 TW,22.0,2
1056 VG,11.0,1
1056 VK,22.0,1
1056 VR,22.0,1
1056 VS,11.0,1
1056 VV,22.0,2
1056 WB,11.0,1
1056 WC,11.0,1
1056 WS,11.0,1
1056 WT,22.0,1
1056 WV,11.0,1
1056 XL,22.0,1
1056 XR,11.0,1
1056 XT,11.0,1
1057,11.0,1
1057 AC,11.0,1
1057 AN,11.0,1
1057 AP,22.0,1
1057 AR,11.0,1
1057 AS,22.0,1
1057 AX,22.0,1
1057 AZ,11.0,1
1057 BE,11.0,1
1057 BR,22.0,1
1057 CJ,11.0,1
1057 CK,11.0,1
1057 DM,22.0,1
1057 DP,11.0,1
1057 DT,11.0,1
1057 EH,11.0,1
1057 ET,11.0,1
1057 EZ,22.0,1
1057 GC,22.0,1
1057 GD,22.0,1
1057 GE,11.0,1
1057 GV,11.0,1
1057 GX,11.0,1
1057 HB,11.0,1
1057 HE,11.0,1
1057 HM,22.0,2
1057 HN,11.0,1
1057 HR,11.0,1
1057 HX,11.0,1
1057 JA,11.0,1
1057 JH,22.0,1
1057 JK,11.0,1
1057 JP,33.0,2
1057 JS,11.0,1
1057 NL,22.0,1
1057 PX,11.0,1
1057 RE,22.0,1
1057 RG,11.0,1
1057 RJ,11.0,1
1057 RM,22.0,1
1057 RR,11.0,1
1057 RT,33.0,2
1057 RW,22.0,1
1057 SC,11.0,1
1057 SG,11.0,1
1057 SX,44.0,2
1057 TE,11.0,1
1057 TJ,22.0,1
1057 TR,22.0,1
1057 VH,11.0,1
1057 VP,22.0,2
1057 WD,22.0,1
1057 WK,11.0,1
1057 WR,22.0,1
1057 WX,22.0,1
1057 XA,11.0,1
1057 ZR,11.0,1
1057 ZW,33.0,3
1058 AA,22.0,2
1058 AM,11.0,1
1058 AN,33.0,2
1058 AS,22.0,1
1058 AT,11.0,1
1058 AW,22.0,1
1058 AZ,11.0,1
1058 BC,22.0,1
1058 BV,11.0,1
1058 BW,22.0,1
1058 CV,22.0,1
1058 DH,11.0,1
1058 DK,11.0,1
1058 DN,11.0,1
1058 DV,22.0,1
1058 GA,55.0,4
1058 GD,11.0,1
1058 GN,11.0,1
1058 GP,11.0,1
1058 GR,11.0,1
1058 GX,22.0,1
1058 HC,22.0,2
1058 HE,11.0,1
1058 HG,11.0,1
1058 HJ,11.0,1
1058 HN,11.0,1
1058 HP,11.0,1
1058 HS,11.0,1
1058 HT,33.0,2
1058 HW,22.0,1
1058 JC,11.0,1
1058 JG,11.0,1
1058 JL,11.0,1
1058 JW,11.0,1
1058 KM,11.0,1
1058 KN,11.0,1
1058 KS,11.0,1
1058 KV,22.0,1
1058 KX,22.0,1
1058 LG,22.0,1
1058 LH,11.0,1
1058 LL,11.0,1
1058 LM,44.0,2
1058 LP,11.0,1
1058 LT,11.0,1
1058 NB,11.0,1
1058 NC,11.0,1
1058 NE,11.0,1
1058 NL,44.0,3
1058 SE,11.0,1
1058 SL,11.0,1
1058 SP,11.0,1
1058 SR,22.0,1
1058 ST,22.0,1
1058 SV,33.0,2
1058 TC,11.0,1
1058 TD,11.0,1
1058 TJ,22.0,1
1058 TX,33.0,2
1058 VA,11.0,1
1058 VD,22.0,1
1058 VK,22.0,1
1058 VN,11.0,1
1058 VV,11.0,1
1058 XB,11.0,1
1058 XC,11.0,1
1058 XD,33.0,2
1058 XG,22.0,1
1058 XM,22.0,1
1058 XT,11.0,1
1058GV,11.0,1
1059 AT,11.0,1
1059 AV,11.0,1
1059 AX,11.0,1
1059 BB,11.0,1
1059 BC,22.0,1
1059 BE,11.0,1
1059 BP,11.0,1
1059 CB,22.0,2
1059 CD,22.0,2
1059 CH,11.0,1
1059 CL,44.0,4
1059 CM,1191.0,16
